pnl,drawdown
-0.3020191999999761,-172.437483158293
-0.38092213899999205,-172.818405297293
-0.19563967999998017,-173.01404497729297
-0.30456270842400146,-173.31860768571698
-0.23744475809999435,-173.55605244381698
-0.30820679999995887,-173.86425924381695
-0.21143500503998877,-174.07569424885693
-0.14757298631996726,-174.2232672351769
-1.0748355012263822,-175.29810273640328
-0.2792496172799917,-175.57735235368327
-0.4045675049199772,-175.98191985860325
-0.20888903999999672,-176.19080889860325
-0.16268053167199578,-176.35348943027526
-0.25489897111678794,-176.60838840139206
-0.2901696195839938,-176.89855802097605
-0.35091561545598526,-177.24947363643204
-0.1736879919359952,-177.42316162836804
-0.1483999899199875,-177.57156161828803
-0.2694977999999979,-177.84105941828804
-0.2788766278727933,-178.11993604616083
-0.3618601085688383,-178.48179615472966
-0.22353500455997702,-178.70533115928964
-0.18354911666880638,-178.88888027595846
-0.3582915586879989,-179.24717183464645
-0.30430933900796997,-179.55148117365442
-0.12737411056239645,-179.6788552842168
-0.14997058369033356,-179.82882586790714
-0.128881956320005,-179.95770782422716
-0.14354617942921324,-180.10125400365638
-0.1608370089695778,-180.26209101262594
-0.06884380755200299,-180.33093482017796
-1.23011006358238,-181.56104488376033
-0.15871438564799017,-181.7197592694083
-0.14130898823999188,-181.8610682576483
-0.20243223523326276,-182.06350049288156
-0.11521997599999517,-182.17872046888155
-0.08385772699199817,-182.26257819587354
-0.16317520705677344,-182.42575340293033
0.2748234325200123,-182.15092997041032
-0.19590255482557675,-182.3468325252359
-0.12396717889920354,-182.4707997041351
0.048923884240008375,-182.4218758198951
-0.439054604832793,-182.86093042472788
-0.1452323567040497,-183.00616278143193
-0.09412345283997575,-183.1002862342719
-0.14596916417439038,-183.2462553984463
-0.37532003839998457,-183.62157543684629
-0.25044961036799485,-183.8720250472143
-0.19445997177597718,-184.06648501899028
-0.35661640703918995,-184.42310142602946
-0.35157723599999546,-184.77467866202946
-0.5408578165615587,-185.315536478591
-0.4111107488399843,-185.726647227431
-0.1870868941199764,-185.91373412155096
-0.5221452598079739,-186.43587938135894
-0.6963480960479855,-187.13222747740693
-1.1850913012556596,-188.31731877866258
-0.5822697492239972,-188.89958852788658
