pnl_net,equity,drawdown,rolling_sharpe,rolling_expectancy,rolling_winrate
-0.9334881536175801,-25.108180242745348,-25.03857299325416,-4.218785962020551,-0.23928272219899605,0.06
-1.163668986912002,-26.27184922965735,-26.20224198016616,-4.3231740764556505,-0.25765561211243576,0.06
-0.2058055825280079,-26.477654812185357,-26.40804756269417,-4.355740485178963,-0.2593591440053647,0.06
-0.3295165140951883,-26.807171326280546,-26.737564076789358,-4.3479015850199385,-0.2588273578994289,0.06
-0.14750020981439374,-26.95467153609494,-26.88506428660375,-4.245033778070566,-0.252137700763237,0.06
-0.24478556155194486,-27.199457097646885,-27.129849848155697,-4.3140614946542115,-0.2557227646585962,0.06
-0.31315811999998,-27.512615217646864,-27.443007968155676,-4.37858524688703,-0.25935805220813224,0.06
-0.21308986501438132,-27.725705082661246,-27.656097833170058,-4.32899932139607,-0.2562751091148203,0.06
-0.3405965348296082,-28.066301617490854,-27.996694367999666,-4.350601175228715,-0.2576535339299727,0.06
-0.43148199999998876,-28.497783617490843,-28.428176367999654,-4.420637522525877,-0.26219439712997267,0.06
-0.2934680456105004,-28.79125166310134,-28.721644413610154,-4.469587233924217,-0.2649376987567111,0.06
-0.37075768078271953,-29.162009343884062,-29.092402094392874,-4.464963983693709,-0.26460666343236616,0.06
-0.3516895884799933,-29.513698932364054,-29.444091682872866,-4.526074835078539,-0.2682028857275665,0.06
-0.38751599999997455,-29.901214932364027,-29.83160768287284,-4.605683071616122,-0.2729142070394694,0.06
-0.4063211999999927,-30.30753613236402,-30.237928882872833,-4.805510774453693,-0.2828285265433091,0.04
-0.3025199000000065,-30.610056032364028,-30.54044878287284,-4.833643389308922,-0.2844287673397901,0.04
-0.2446099615040016,-30.85466599386803,-30.78505874437684,-4.831027023919276,-0.2842834290410701,0.04
-0.24978178987199917,-31.104447783740028,-31.03484053424884,-4.854487961127637,-0.2855279549177104,0.04
-0.3580575900159834,-31.462505373756013,-31.392898124264825,-4.9306595282012164,-0.2897575514299341,0.04
-0.32248730770396516,-31.78499268145998,-31.71538543196879,-4.985236394636093,-0.29274460821761344,0.04
-0.6212681746343334,-32.40626085609431,-32.33665360660313,-5.056375058637272,-0.29872958788774023,0.04
-0.3616033298863549,-32.76786418598067,-32.698256936489486,-5.030124107311668,-0.29681405362146784,0.04
-0.3294446840879735,-33.097308870068645,-33.02770162057746,-5.104313308658958,-0.3007346279944277,0.04
-0.22857628480800027,-33.325885154876644,-33.25627790538546,-5.119842888652611,-0.301523130278108,0.04
-0.33462247655197214,-33.660507631428615,-33.59090038193743,-5.529345213318542,-0.31615713321186745,0.02
-0.4184045502621605,-34.078912181690775,-34.00930493219959,-5.640395408269469,-0.321976510928151,0.02
0.25903116902402307,-33.819881012666755,-33.75027376317557,-5.298803382788672,-0.30832249452987853,0.04
-0.20672594748556683,-34.02660696015232,-33.95699971066114,-5.167756857749343,-0.296122035021414,0.04
-0.30118739999997923,-34.3277943601523,-34.25818711066112,-5.252294722947009,-0.3002187658878139,0.04
-0.6158241186799948,-34.9436184788323,-34.874011229341114,-6.011908993719516,-0.27107725163581403,0.04
