coin,hour_of_day,expectancy,profit_factor,winrate,trade_count
FF/USDT,19,-1.3529852416079475,0.0,0.0,1
HBAR/USDT,4,-1.3557701075169424,0.0,0.0,23
BGB/USDT,9,-1.3639462707919763,0.0,0.0,5
XRP/USDT,5,-1.3721173723559186,0.0,0.0,6
PI/USDT,7,-1.3789275055896588,0.0008649535301248475,0.07142857142857142,14
H/USDT,2,-1.3820522426306516,0.036186630646491545,0.09090909090909091,11
AAVE/USDT,6,-1.3913127588893262,0.0,0.0,17
HBAR/USDT,6,-1.3929469197757383,0.0,0.0,11
MORPHO/USDT,10,-1.3982243162990455,0.0,0.0,18
HBAR/USDT,11,-1.4013401527607914,0.0,0.0,1
PENGU/USDT,4,-1.4043795154200882,0.0,0.0,24
XAUT/USDT,11,-1.4048958967200789,0.0,0.0,1
RIVER/USDT,12,-1.408303533624742,0.4721689150611607,0.3,10
ASTER/USDT,12,-1.4097404021769229,0.0,0.0,8
PENGU/USDT,3,-1.4100059218845036,0.0,0.0,21
XAUT/USDT,10,-1.4135553320799306,0.0,0.0,15
ETH/USDT,5,-1.4151936545566437,0.0,0.0,17
DOGE/USDT,8,-1.4165008678183695,0.0,0.0,2
GRASS/USDT,7,-1.4233809647626685,0.15348599578909,0.3333333333333333,3
PI/USDT,6,-1.426009002879933,0.02760903584921977,0.14285714285714285,7
XAUT/USDT,7,-1.430709354171286,0.0,0.0,7
KITE/USDT,4,-1.4333971980694162,0.0880459438224719,0.08,25
BGB/USDT,10,-1.4417341620958806,0.0,0.0,2
XRP/USDT,12,-1.453649747830342,0.0,0.0,5
BERA/USDT,9,-1.469481681273298,0.0,0.0,3
ZRO/USDT,12,-1.4718936970921868,0.4146038291104367,0.35714285714285715,14
SONIC/USDT,4,-1.4726500766318686,0.0,0.0,1
GRASS/USDT,11,-1.477746547199796,0.0,0.0,1
0G/USDT,3,-1.479103323041297,0.0784056287640066,0.16666666666666666,6
TRX/USDT,11,-1.4794905002397554,0.0,0.0,9
TAO/USDT,10,-1.479804049321645,0.0,0.0,6
0G/USDT,6,-1.482632600870949,0.033339318303265045,0.1111111111111111,9
MOODENG/USDT,3,-1.4904927575019347,0.0,0.0,9
GRASS/USDT,12,-1.4935153990015337,0.0,0.0,5
ZRO/USDT,9,-1.4954177539448072,0.0506095626187376,0.125,16
H/USDT,5,-1.4961289400846016,0.1629811541811675,0.11538461538461539,26
