t,hour_of_day,weekday,date,pnl
2026-03-07 14:00:50.334000+00:00,14,Saturday,2026-03-07,-2.0728998312799862
2026-03-07 14:02:33.873000+00:00,14,Saturday,2026-03-07,-0.16872983492158292
2026-03-07 14:01:01.058000+00:00,14,Saturday,2026-03-07,1.4104893914400076
2026-03-07 14:02:33.873000+00:00,14,Saturday,2026-03-07,-0.2903979999999427
2026-03-07 14:02:26.203000+00:00,14,Saturday,2026-03-07,-0.14667021435917238
2026-03-07 14:02:50.941000+00:00,14,Saturday,2026-03-07,-0.37805120000000125
2026-03-07 14:01:30.787000+00:00,14,Saturday,2026-03-07,-0.13813703920477083
2026-03-07 14:03:21.747000+00:00,14,Saturday,2026-03-07,-0.2865528599999904
2026-03-07 14:02:33.873000+00:00,14,Saturday,2026-03-07,-0.4415904328320279
2026-03-07 14:03:21.747000+00:00,14,Saturday,2026-03-07,-0.17376809128798607
2026-03-07 14:04:03.051000+00:00,14,Saturday,2026-03-07,-0.2784209999999784
2026-03-07 14:02:50.941000+00:00,14,Saturday,2026-03-07,-0.05686249245604147
2026-03-07 14:04:34.656000+00:00,14,Saturday,2026-03-07,-0.2456443898239662
2026-03-07 14:01:43.102000+00:00,14,Saturday,2026-03-07,-0.21828510622560998
2026-03-07 14:04:34.656000+00:00,14,Saturday,2026-03-07,-0.13706117731601453
2026-03-07 14:04:34.656000+00:00,14,Saturday,2026-03-07,-0.16774476721599726
2026-03-07 14:02:33.873000+00:00,14,Saturday,2026-03-07,-0.11925957828476907
2026-03-07 14:05:41.105000+00:00,14,Saturday,2026-03-07,-0.138002914347985
2026-03-07 14:03:55.778000+00:00,14,Saturday,2026-03-07,-0.08747453831997717
2026-03-07 14:05:19.887000+00:00,14,Saturday,2026-03-07,-0.17507942163599022
2026-03-07 14:04:26.799000+00:00,14,Saturday,2026-03-07,-0.5476925252943823
2026-03-07 14:04:51.583000+00:00,14,Saturday,2026-03-07,-0.9334881536175801
2026-03-07 14:05:00.287000+00:00,14,Saturday,2026-03-07,-1.163668986912002
2026-03-07 14:06:03.840000+00:00,14,Saturday,2026-03-07,-0.2058055825280079
2026-03-07 14:06:58.265000+00:00,14,Saturday,2026-03-07,-0.3295165140951883
2026-03-07 14:06:35.476000+00:00,14,Saturday,2026-03-07,-0.14750020981439374
2026-03-07 14:06:58.265000+00:00,14,Saturday,2026-03-07,-0.24478556155194486
2026-03-07 14:07:00.823000+00:00,14,Saturday,2026-03-07,-0.31315811999998
2026-03-07 14:06:27.783000+00:00,14,Saturday,2026-03-07,-0.21308986501438132
2026-03-07 14:07:03.896000+00:00,14,Saturday,2026-03-07,-0.3405965348296082
2026-03-07 14:07:13.616000+00:00,14,Saturday,2026-03-07,-0.43148199999998876
2026-03-07 14:07:25.349000+00:00,14,Saturday,2026-03-07,-0.2934680456105004
2026-03-07 14:07:17.210000+00:00,14,Saturday,2026-03-07,-0.37075768078271953
2026-03-07 14:06:58.265000+00:00,14,Saturday,2026-03-07,-0.3516895884799933
2026-03-07 14:07:34.122000+00:00,14,Saturday,2026-03-07,-0.38751599999997455
2026-03-07 14:08:04.778000+00:00,14,Saturday,2026-03-07,-0.4063211999999927
2026-03-07 14:08:36.312000+00:00,14,Saturday,2026-03-07,-0.3025199000000065
2026-03-07 14:08:59.032000+00:00,14,Saturday,2026-03-07,-0.2446099615040016
2026-03-07 14:06:58.265000+00:00,14,Saturday,2026-03-07,-0.24978178987199917
2026-03-07 14:08:59.032000+00:00,14,Saturday,2026-03-07,-0.3580575900159834
2026-03-07 14:06:35.476000+00:00,14,Saturday,2026-03-07,-0.32248730770396516
2026-03-07 14:09:17.761000+00:00,14,Saturday,2026-03-07,-0.6212681746343334
2026-03-07 14:09:04.813000+00:00,14,Saturday,2026-03-07,-0.3616033298863549
2026-03-07 14:08:59.032000+00:00,14,Saturday,2026-03-07,-0.3294446840879735
2026-03-07 14:09:18.286000+00:00,14,Saturday,2026-03-07,-0.22857628480800027
2026-03-07 14:09:21.373000+00:00,14,Saturday,2026-03-07,-0.33462247655197214
2026-03-07 14:09:26.079000+00:00,14,Saturday,2026-03-07,-0.4184045502621605
2026-03-07 14:07:29.489000+00:00,14,Saturday,2026-03-07,0.25903116902402307
2026-03-07 14:08:57.987000+00:00,14,Saturday,2026-03-07,-0.20672594748556683
2026-03-07 14:09:37+00:00,14,Saturday,2026-03-07,-0.30118739999997923
2026-03-07 14:10:37.134000+00:00,14,Saturday,2026-03-07,-0.6158241186799948
2026-03-07 14:11:00.073000+00:00,14,Saturday,2026-03-07,-0.4046651999999947
2026-03-07 14:11:00.073000+00:00,14,Saturday,2026-03-07,-0.5123934832640114
2026-03-07 14:11:02.679000+00:00,14,Saturday,2026-03-07,-0.39558527999999793
2026-03-07 14:11:05.803000+00:00,14,Saturday,2026-03-07,-0.40357478000000324
2026-03-07 14:11:18.358000+00:00,14,Saturday,2026-03-07,-0.40061918399997476
2026-03-07 14:10:59.027000+00:00,14,Saturday,2026-03-07,-0.20667042747116293
2026-03-07 14:09:34.914000+00:00,14,Saturday,2026-03-07,-0.15550506418560378
2026-03-07 14:10:05.352000+00:00,14,Saturday,2026-03-07,-0.1406618362799671
2026-03-07 14:11:22.023000+00:00,14,Saturday,2026-03-07,-0.4316385999999752
2026-03-07 14:11:26.728000+00:00,14,Saturday,2026-03-07,-0.29332436340542095
2026-03-07 14:11:30.376000+00:00,14,Saturday,2026-03-07,-0.29185519999997434
2026-03-07 14:10:31.361000+00:00,14,Saturday,2026-03-07,-0.16911916563198331
2026-03-07 14:11:37.692000+00:00,14,Saturday,2026-03-07,-0.30103199999996266
2026-03-07 14:12:10.697000+00:00,14,Saturday,2026-03-07,-0.3884846799999517
2026-03-07 14:12:24.814000+00:00,14,Saturday,2026-03-07,-0.2790319999999904
2026-03-07 14:12:36.360000+00:00,14,Saturday,2026-03-07,-0.38263679999996636
2026-03-07 14:12:37.926000+00:00,14,Saturday,2026-03-07,-0.30424952000000005
2026-03-07 14:10:31.361000+00:00,14,Saturday,2026-03-07,-0.4425181589087871
2026-03-07 14:13:07.379000+00:00,14,Saturday,2026-03-07,-0.24489836140793542
2026-03-07 14:13:07.379000+00:00,14,Saturday,2026-03-07,-0.34772478771200466
2026-03-07 14:13:19.309000+00:00,14,Saturday,2026-03-07,-0.4057785300000077
2026-03-07 14:13:08.919000+00:00,14,Saturday,2026-03-07,-0.567978040166385
2026-03-07 14:13:22.959000+00:00,14,Saturday,2026-03-07,-0.5126744000000142
2026-03-07 14:12:38.978000+00:00,14,Saturday,2026-03-07,-0.8909356155599878
2026-03-07 14:13:07.379000+00:00,14,Saturday,2026-03-07,-0.5072860165559838
2026-03-07 14:13:33.240000+00:00,14,Saturday,2026-03-07,-0.30936060000000937
2026-03-07 14:13:27.648000+00:00,14,Saturday,2026-03-07,-0.6327590130579106
2026-03-07 14:13:33.771000+00:00,14,Saturday,2026-03-07,-0.2988143999999646
2026-03-07 14:13:38.464000+00:00,14,Saturday,2026-03-07,-0.30405759999999576
2026-03-07 14:15:08.012000+00:00,14,Saturday,2026-03-07,-0.40489439999999777
2026-03-07 14:13:33.240000+00:00,14,Saturday,2026-03-07,-0.393579048816001
2026-03-07 14:15:09.543000+00:00,14,Saturday,2026-03-07,-0.4003777400000085
2026-03-07 14:15:09.543000+00:00,14,Saturday,2026-03-07,-0.2616095669759775
2026-03-07 14:14:45.747000+00:00,14,Saturday,2026-03-07,-0.5263358715359518
2026-03-07 14:15:28.431000+00:00,14,Saturday,2026-03-07,-0.44639994640634073
2026-03-07 14:15:37.218000+00:00,14,Saturday,2026-03-07,-0.18919179999997615
2026-03-07 14:14:25.597000+00:00,14,Saturday,2026-03-07,-0.3191159087999688
2026-03-07 14:15:23.685000+00:00,14,Saturday,2026-03-07,-1.4444462232959743
2026-03-07 14:15:37.218000+00:00,14,Saturday,2026-03-07,-0.3853440207359997
2026-03-07 14:14:38.944000+00:00,14,Saturday,2026-03-07,-0.5515539363999631
2026-03-07 14:17:36.662000+00:00,14,Saturday,2026-03-07,-0.39908454205699984
2026-03-07 14:15:09.543000+00:00,14,Saturday,2026-03-07,-0.24159593285517603
2026-03-07 14:17:08.557000+00:00,14,Saturday,2026-03-07,-0.32537878070399895
2026-03-07 14:17:10.181000+00:00,14,Saturday,2026-03-07,-0.3065439777279829
2026-03-07 14:17:10.181000+00:00,14,Saturday,2026-03-07,-0.3793415049863894
2026-03-07 14:17:44.065000+00:00,14,Saturday,2026-03-07,-0.6001148649040056
2026-03-07 14:13:06.860000+00:00,14,Saturday,2026-03-07,-0.6918828729119975
2026-03-07 14:15:20.010000+00:00,14,Saturday,2026-03-07,-1.1155712153825803
2026-03-07 14:14:45.747000+00:00,14,Saturday,2026-03-07,-0.5697246384479915
2026-03-07 14:17:04.096000+00:00,14,Saturday,2026-03-07,-0.46157804367997546
2026-03-07 14:17:40.908000+00:00,14,Saturday,2026-03-07,-0.5593618311640114
2026-03-07 14:17:38.279000+00:00,14,Saturday,2026-03-07,-0.5584896622079799
2026-03-07 14:17:45.130000+00:00,14,Saturday,2026-03-07,-0.40086895999999017
2026-03-07 14:17:36.662000+00:00,14,Saturday,2026-03-07,-0.9776481113599329
2026-03-07 14:16:46.681000+00:00,14,Saturday,2026-03-07,-0.5785658040831976
2026-03-07 14:19:10.979000+00:00,14,Saturday,2026-03-07,-0.40506209999999077
2026-03-07 14:15:39.316000+00:00,14,Saturday,2026-03-07,-0.3602480134399744
2026-03-07 14:19:37.481000+00:00,14,Saturday,2026-03-07,-0.6458011037026479
2026-03-07 14:19:12.555000+00:00,14,Saturday,2026-03-07,-0.3433201873759887
2026-03-07 14:18:30.886000+00:00,14,Saturday,2026-03-07,-0.13242375056064948
2026-03-07 14:19:10.979000+00:00,14,Saturday,2026-03-07,-0.3658643889119942
2026-03-07 14:19:09.399000+00:00,14,Saturday,2026-03-07,-0.3350915801279989
2026-03-07 14:19:37.481000+00:00,14,Saturday,2026-03-07,-0.4087367713919715
2026-03-07 14:19:40.661000+00:00,14,Saturday,2026-03-07,-0.30145379999997246
2026-03-07 14:19:41.707000+00:00,14,Saturday,2026-03-07,-0.3037875200000033
2026-03-07 14:18:46.154000+00:00,14,Saturday,2026-03-07,-0.19429794911997758
2026-03-07 14:19:44.826000+00:00,14,Saturday,2026-03-07,-0.3116929199999911
2026-03-07 14:19:44.826000+00:00,14,Saturday,2026-03-07,-0.38528219999997115
2026-03-07 14:19:45.876000+00:00,14,Saturday,2026-03-07,-0.3774628846455924
2026-03-07 14:20:31.927000+00:00,14,Saturday,2026-03-07,-0.4045111399999769
2026-03-07 14:20:57.169000+00:00,14,Saturday,2026-03-07,-0.40587399999998464
2026-03-07 14:21:27.801000+00:00,14,Saturday,2026-03-07,-0.6721728741479501
2026-03-07 14:19:08.036000+00:00,14,Saturday,2026-03-07,1.0357375397712523
2026-03-07 14:19:39.102000+00:00,14,Saturday,2026-03-07,-0.28032619476799714
2026-03-07 14:21:39.749000+00:00,14,Saturday,2026-03-07,-0.6366847436940399
2026-03-07 14:21:39.749000+00:00,14,Saturday,2026-03-07,-0.886279785895972
2026-03-07 14:21:46.585000+00:00,14,Saturday,2026-03-07,-0.6017265582327602
2026-03-07 14:22:10.090000+00:00,14,Saturday,2026-03-07,-0.20644339999999
2026-03-07 14:20:12.023000+00:00,14,Saturday,2026-03-07,0.044128838368874046
2026-03-07 14:21:29.384000+00:00,14,Saturday,2026-03-07,-0.6000951451439261
2026-03-07 14:21:42.396000+00:00,14,Saturday,2026-03-07,-0.5251065529776079
2026-03-07 14:22:42.294000+00:00,14,Saturday,2026-03-07,-0.1155337575200017
2026-03-07 14:21:41.334000+00:00,14,Saturday,2026-03-07,-0.44578713463197417
2026-03-07 14:23:43.174000+00:00,14,Saturday,2026-03-07,-0.2180549688757045
2026-03-07 14:21:27.801000+00:00,14,Saturday,2026-03-07,-0.5958021657055749
2026-03-07 14:21:27.801000+00:00,14,Saturday,2026-03-07,-0.832730599479979
2026-03-07 14:21:47.628000+00:00,14,Saturday,2026-03-07,-0.31243239999999994
2026-03-07 14:22:10.090000+00:00,14,Saturday,2026-03-07,-0.29954999999999266
2026-03-07 14:22:10.090000+00:00,14,Saturday,2026-03-07,-0.08785587573599955
2026-03-07 14:22:40.231000+00:00,14,Saturday,2026-03-07,-0.33147401003200916
2026-03-07 14:21:47.628000+00:00,14,Saturday,2026-03-07,-0.32584558564794613
2026-03-07 14:24:22.313000+00:00,14,Saturday,2026-03-07,-0.38451070491917144
2026-03-07 14:22:53.212000+00:00,14,Saturday,2026-03-07,-0.4916975846223073
2026-03-07 14:25:49.894000+00:00,14,Saturday,2026-03-07,-0.4032875136705408
2026-03-07 14:23:28.676000+00:00,14,Saturday,2026-03-07,-0.46558681857598233
2026-03-07 14:23:42.646000+00:00,14,Saturday,2026-03-07,-0.5124040254399791
2026-03-07 14:23:43.174000+00:00,14,Saturday,2026-03-07,-0.4312335999999478
2026-03-07 14:23:44.231000+00:00,14,Saturday,2026-03-07,-0.4815327166319818
2026-03-07 14:23:45.273000+00:00,14,Saturday,2026-03-07,-0.3396122681743865
2026-03-07 14:23:47.914000+00:00,14,Saturday,2026-03-07,-0.4424245306415786
2026-03-07 14:26:52.264000+00:00,14,Saturday,2026-03-07,-0.30922061872637796
2026-03-07 14:24:45.214000+00:00,14,Saturday,2026-03-07,-0.6042433540063643
2026-03-07 14:24:12.307000+00:00,14,Saturday,2026-03-07,-0.19042849613599713
2026-03-07 14:26:22.987000+00:00,14,Saturday,2026-03-07,-0.6051211460639913
2026-03-07 14:24:29.738000+00:00,14,Saturday,2026-03-07,-0.335257180127964
2026-03-07 14:24:49.387000+00:00,14,Saturday,2026-03-07,-0.6117045747119865
2026-03-07 14:26:52.264000+00:00,14,Saturday,2026-03-07,-0.30533880000001634
2026-03-07 14:27:24.741000+00:00,14,Saturday,2026-03-07,-0.20641119999999638
2026-03-07 14:27:24.741000+00:00,14,Saturday,2026-03-07,-0.29241991999998634
2026-03-07 14:25:49.239000+00:00,14,Saturday,2026-03-07,-0.22522228192799282
2026-03-07 14:25:41.167000+00:00,14,Saturday,2026-03-07,-0.31063670501597507
2026-03-07 14:26:52.264000+00:00,14,Saturday,2026-03-07,-0.2998371746079437
2026-03-07 14:25:49.239000+00:00,14,Saturday,2026-03-07,-0.3878472837119592
2026-03-07 14:25:49.239000+00:00,14,Saturday,2026-03-07,-0.6417283269839047
2026-03-07 14:25:54.622000+00:00,14,Saturday,2026-03-07,-0.4311087291966097
2026-03-07 14:27:31.325000+00:00,14,Saturday,2026-03-07,-0.2520431602559684
2026-03-07 14:26:52.264000+00:00,14,Saturday,2026-03-07,-0.3363260817839705
2026-03-07 14:26:52.264000+00:00,14,Saturday,2026-03-07,-0.4312335999999478
2026-03-07 14:27:31.852000+00:00,14,Saturday,2026-03-07,-0.3000395999999769
2026-03-07 14:27:50.785000+00:00,14,Saturday,2026-03-07,-0.2777447561696007
2026-03-07 14:27:56.031000+00:00,14,Saturday,2026-03-07,-0.30039680000001096
2026-03-07 14:29:17.618000+00:00,14,Saturday,2026-03-07,-0.5886496453119437
2026-03-07 14:30:07.356000+00:00,14,Saturday,2026-03-07,-0.9125580160399649
2026-03-07 14:28:23.768000+00:00,14,Saturday,2026-03-07,-0.34403374467836983
2026-03-07 14:30:10.922000+00:00,14,Saturday,2026-03-07,-0.15179720647680545
2026-03-07 14:30:52.152000+00:00,14,Saturday,2026-03-07,-0.2093249525241397
2026-03-07 14:28:59.057000+00:00,14,Saturday,2026-03-07,-0.4571248401279658
2026-03-07 14:28:59.057000+00:00,14,Saturday,2026-03-07,-0.4317869982069639
2026-03-07 14:28:59.057000+00:00,14,Saturday,2026-03-07,-0.39697310275997055
2026-03-07 14:28:59.057000+00:00,14,Saturday,2026-03-07,-0.36068459857835006
2026-03-07 14:28:59.586000+00:00,14,Saturday,2026-03-07,-0.3933283199999535
2026-03-07 14:28:59.586000+00:00,14,Saturday,2026-03-07,-0.2983754599999905
2026-03-07 14:28:59.586000+00:00,14,Saturday,2026-03-07,-0.4016983999999547
2026-03-07 14:29:32.155000+00:00,14,Saturday,2026-03-07,-0.7536984799679818
2026-03-07 14:32:01.368000+00:00,14,Saturday,2026-03-07,-0.5808286838479355
2026-03-07 14:32:01.368000+00:00,14,Saturday,2026-03-07,-0.4015935999999768
2026-03-07 14:32:12.008000+00:00,14,Saturday,2026-03-07,-0.20634679999998295
2026-03-07 14:30:51.072000+00:00,14,Saturday,2026-03-07,-0.10565093260803349
2026-03-07 14:31:22.299000+00:00,14,Saturday,2026-03-07,-0.348646387711947
2026-03-07 14:30:51.072000+00:00,14,Saturday,2026-03-07,-0.3055457999999765
2026-03-07 14:26:30.272000+00:00,14,Saturday,2026-03-07,-0.4015261677143317
2026-03-07 14:32:00.757000+00:00,14,Saturday,2026-03-07,-0.2815049951769838
2026-03-07 14:33:25.762000+00:00,14,Saturday,2026-03-07,-0.29266012000000985
2026-03-07 14:34:02.137000+00:00,14,Saturday,2026-03-07,-0.289833573119995
2026-03-07 14:31:24.926000+00:00,14,Saturday,2026-03-07,-0.4078099199999585
2026-03-07 14:32:12.008000+00:00,14,Saturday,2026-03-07,-0.05428716726397846
2026-03-07 14:34:03.197000+00:00,14,Saturday,2026-03-07,-0.2854054587526045
2026-03-07 14:32:00.757000+00:00,14,Saturday,2026-03-07,-0.373775620064015
2026-03-07 14:32:01.368000+00:00,14,Saturday,2026-03-07,-0.7736202309143695
2026-03-07 14:32:07.908000+00:00,14,Saturday,2026-03-07,-0.4284599999999571
2026-03-07 14:34:02.137000+00:00,14,Saturday,2026-03-07,-0.30596397407996523
2026-03-07 14:32:12.008000+00:00,14,Saturday,2026-03-07,-0.3585432101759929
2026-03-07 14:32:12.008000+00:00,14,Saturday,2026-03-07,-0.27867599135997034
2026-03-07 14:35:07.258000+00:00,14,Saturday,2026-03-07,-0.18099174772800858
2026-03-07 14:32:00.757000+00:00,14,Saturday,2026-03-07,-0.730848082799949
2026-03-07 14:33:52.659000+00:00,14,Saturday,2026-03-07,-0.15587961566636838
2026-03-07 14:21:27.267000+00:00,14,Saturday,2026-03-07,-0.15616496271597588
2026-03-07 14:34:12.584000+00:00,14,Saturday,2026-03-07,-0.6086641628879776
2026-03-07 14:32:52.810000+00:00,14,Saturday,2026-03-07,-1.0002560060387928
2026-03-07 14:35:39.231000+00:00,14,Saturday,2026-03-07,-0.4027631999999698
2026-03-07 14:33:23.139000+00:00,14,Saturday,2026-03-07,-0.47040641689600227
2026-03-07 14:36:01.955000+00:00,14,Saturday,2026-03-07,-0.4042030279999879
2026-03-07 14:35:07.258000+00:00,14,Saturday,2026-03-07,-0.4808370453599926
2026-03-07 14:33:55.738000+00:00,14,Saturday,2026-03-07,-0.49026372220961456
2026-03-07 14:36:03.947000+00:00,14,Saturday,2026-03-07,-0.40185467999995805
2026-03-07 14:36:03.947000+00:00,14,Saturday,2026-03-07,-0.19413843487085164
2026-03-07 14:34:26.148000+00:00,14,Saturday,2026-03-07,-0.48213226565997896
2026-03-07 14:34:28.773000+00:00,14,Saturday,2026-03-07,-0.19102819999998633
2026-03-07 14:37:12.342000+00:00,14,Saturday,2026-03-07,-0.15318331403515795
2026-03-07 14:24:04.644000+00:00,14,Saturday,2026-03-07,-0.5172720510719846
2026-03-07 14:35:07.258000+00:00,14,Saturday,2026-03-07,-0.3030416399999891
2026-03-07 14:35:09.893000+00:00,14,Saturday,2026-03-07,-0.5154839999999484
2026-03-07 14:35:13.033000+00:00,14,Saturday,2026-03-07,-0.31869680057600147
2026-03-07 14:35:20.886000+00:00,14,Saturday,2026-03-07,-0.278819991359972
2026-03-07 14:35:26.653000+00:00,14,Saturday,2026-03-07,-1.1038302144143584
2026-03-07 14:37:32.413000+00:00,14,Saturday,2026-03-07,-0.6141511970663666
2026-03-07 14:37:34.495000+00:00,14,Saturday,2026-03-07,-0.482030744471997
2026-03-07 14:37:39.821000+00:00,14,Saturday,2026-03-07,-0.7474563866639832
2026-03-07 14:36:24.134000+00:00,14,Saturday,2026-03-07,-0.6274912545279722
2026-03-07 14:36:01.955000+00:00,14,Saturday,2026-03-07,-0.7834576133999633
2026-03-07 14:36:03.419000+00:00,14,Saturday,2026-03-07,-0.7924500907199893
2026-03-07 14:36:18.385000+00:00,14,Saturday,2026-03-07,-1.2185694695119444
2026-03-07 14:36:14.261000+00:00,14,Saturday,2026-03-07,-0.3583768364319918
2026-03-07 14:37:34.495000+00:00,14,Saturday,2026-03-07,-0.8490813080383894
2026-03-07 14:38:04.828000+00:00,14,Saturday,2026-03-07,-0.5614087236155711
2026-03-07 14:38:09.005000+00:00,14,Saturday,2026-03-07,-0.45606795907199715
2026-03-07 14:37:34.495000+00:00,14,Saturday,2026-03-07,-0.6396000787199975
2026-03-07 14:38:04.828000+00:00,14,Saturday,2026-03-07,-0.7458284442495887
2026-03-07 14:39:01.081000+00:00,14,Saturday,2026-03-07,-0.5161344276479702
2026-03-07 14:38:02.720000+00:00,14,Saturday,2026-03-07,-2.4840174900822465
2026-03-07 14:38:10.566000+00:00,14,Saturday,2026-03-07,-1.8892323089199077
2026-03-07 14:38:14.225000+00:00,14,Saturday,2026-03-07,-0.5621264587519781
2026-03-07 14:37:32.413000+00:00,14,Saturday,2026-03-07,-0.6384946070159765
2026-03-07 14:39:04.245000+00:00,14,Saturday,2026-03-07,-0.6259500513599927
