pnl,score,entry_efficiency,entry_delay,slippage,mfe,mae,profit_capture_ratio
-0.4184045502621605,0.47291246574942614,1.0,0,,0.0,-4.599999999999922e-09,
0.25903116902402307,0.4006354997489163,1.0,0,,0.0,-1.759999999999991,
-0.20672594748556683,0.44574062374361023,1.0,0,,3.0000000000002247e-05,-9.999999999996123e-06,-6890.864916185044
-0.30118739999997923,0.44521591634614055,1.0,0,,0.0005999999999999339,-9.999999999998899e-05,-501.9790000000207
-0.6158241186799948,0.4501932087659031,1.0,0,,0.0007000000000000339,-9.999999999998899e-05,-879.7487409713784
-0.4046651999999947,0.527019484367361,1.0,0,,0.00030000000000002247,0.0,-1348.883999999881
-0.5123934832640114,0.5074187059814624,1.0,0,,0.7200000000000273,0.0,-0.7116576156444332
-0.39558527999999793,0.5106400212289325,1.0,0,,3.999999999999837e-05,0.0,-9889.63200000035
-0.40357478000000324,0.525323960151343,1.0,0,,4.000000000001225e-05,0.0,-10089.369499996992
-0.40061918399997476,0.5203141415639265,1.0,0,,5.999999999999929e-06,0.0,-66769.86399999658
-0.20667042747116293,0.44574062374361023,1.0,0,,3.0000000000002247e-05,0.0,-6889.014249038249
-0.15550506418560378,0.49632779896775875,1.0,0,,0.00010999999999999899,-9.000000000000674e-05,-1413.6824016873202
-0.1406618362799671,0.52935205484272,1.0,0,,0.00020000000000003348,-0.00039999999999995595,-703.3091813997177
-0.4316385999999752,0.5780327065339623,1.0,0,,0.0040000000000000036,0.0,-107.9096499999937
-0.29332436340542095,0.47291246574942614,1.0,0,,4.599999999999922e-09,-1.4000000000001052e-09,-63766165.95770129
-0.29185519999997434,0.42624396124970243,1.0,0,,0.0009000000000000119,0.0,-324.28355555552275
-0.16911916563198331,0.47276877058519196,1.0,0,,0.0004999999999999449,-0.0014000000000000679,-338.2383312640039
-0.30103199999996266,0.44521591634614055,1.0,0,,0.000400000000000178,-0.0010999999999998789,-752.5799999995718
-0.3884846799999517,0.49632779896775875,1.0,0,,0.0,-0.0002500000000000002,
-0.2790319999999904,0.38444639517970114,1.0,0,,0.04000000000000625,0.0,-6.97579999999867
-0.38263679999996636,0.4855657854736814,1.0,0,,0.0006000000000000449,0.0,-637.7279999998962
-0.30424952000000005,0.45386423647778873,1.0,0,,0.0008000000000000229,0.0,-380.3118999999892
-0.4425181589087871,0.4006354997489163,1.0,0,,0.06999999999999318,-0.27000000000001023,-6.32168798441186
-0.24489836140793542,0.5286785222658251,1.0,0,,0.0001000000000000445,-9.999999999998899e-05,-2448.9836140782645
-0.34772478771200466,0.5108507754295918,1.0,0,,0.15999999999996817,-0.029999999999972715,-2.1732799232004614
-0.4057785300000077,0.5288658974139828,1.0,0,,3.000000000000398e-06,-2.999999999999531e-06,-135259.5099999846
-0.567978040166385,0.5189613891882293,1.0,0,,0.0,-9.000000000000674e-05,
-0.5126744000000142,0.5921740061426701,1.0,0,,0.002000000000000224,-0.0009999999999998899,-256.3371999999784
-0.8909356155599878,0.5339014813467415,1.0,0,,9.999999999998899e-05,-0.00040000000000001146,-8909.356155600859
-0.5072860165559838,0.5115923814653622,1.0,0,,2.0000000000006124e-05,-8.999999999999286e-05,-25364.300827791423
-0.30936060000000937,0.46556312696756885,1.0,0,,0.0005999999999999894,0.0,-515.6010000000247
-0.6327590130579106,0.476726891817194,1.0,0,,0.0,-8.099999999999973e-09,
-0.2988143999999646,0.44085616166263963,1.0,0,,0.0009000000000000119,-9.999999999998899e-05,-332.0159999999563
-0.30405759999999576,0.4485632064414735,,0,,,,
-0.40489439999999777,0.5286785222658251,1.0,0,,0.0005000000000000004,0.0,-809.7887999999948
-0.393579048816001,0.303816640909891,1.0,0,,0.0,-0.0009000000000000119,
-0.4003777400000085,0.5189613891882293,1.0,0,,1.9999999999992246e-05,0.0,-20018.887000008184
-0.2616095669759775,0.5108507754295918,1.0,0,,0.19000000000005457,-0.12000000000000455,-1.3768924577679071
-0.5263358715359518,0.5084066604721703,1.0,0,,0.0,-0.00015999999999999348,
-0.44639994640634073,0.476726891817194,1.0,0,,2.6000000000001953e-09,-1.699999999999916e-09,-171692287.07934892
-0.18919179999997615,0.303816640909891,1.0,0,,0.00030000000000002247,-9.999999999998899e-05,-630.6393333332067
-0.3191159087999688,0.38444639517970114,1.0,0,,0.030000000000001137,-0.030000000000001137,-10.637196959998558
-1.4444462232959743,0.5921740061426701,1.0,0,,0.0,-0.008000000000000007,
-0.3853440207359997,0.44085616166263963,1.0,0,,0.0,-0.000500000000000056,
-0.5515539363999631,0.45386423647778873,1.0,0,,9.999999999998899e-05,-0.0010000000000000009,-5515.5393640002385
-0.39908454205699984,0.476726891817194,1.0,0,,2.699999999999991e-09,0.0,-147809089.65074116
-0.24159593285517603,0.5115923814653622,1.0,0,,3.999999999999837e-05,-6.0000000000004494e-05,-6039.898321379646
-0.32537878070399895,0.5286785222658251,1.0,0,,9.999999999998899e-05,-9.999999999998899e-05,-3253.7878070403476
-0.3065439777279829,0.5108507754295918,1.0,0,,0.2899999999999636,0.0,-1.0570481990621428
-0.3793415049863894,0.5189613891882293,1.0,0,,2.0000000000006124e-05,-9.999999999996123e-06,-18967.075249313664
-0.6001148649040056,0.48325507192692185,1.0,0,,0.028999999999996362,-0.015000000000000568,-20.693616031175203
-0.6918828729119975,0.49417926455065325,1.0,0,,0.0030000000000001137,-0.011999999999998678,-230.62762430399042
-1.1155712153825803,0.5288658974139828,1.0,0,,1.999999999999398e-06,-1.000000000000046e-05,-557785.6076914581
-0.5697246384479915,0.5339014813467415,1.0,0,,9.999999999998899e-05,-0.0005999999999999894,-5697.2463844805425
-0.46157804367997546,0.38444639517970114,1.0,0,,0.00999999999999801,-0.07000000000000028,-46.15780436800673
-0.5593618311640114,0.45386423647778873,1.0,0,,0.00019999999999997797,-0.0013000000000000789,-2796.809155820365
-0.5584896622079799,0.44085616166263963,1.0,0,,0.0,-0.0011999999999999789,
-0.40086895999999017,0.5189644890676894,1.0,0,,0.0,-0.0001300000000000051,
