instId,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl
LTC/USDT,223,0.0,-0.7795081569208558,0.0,,-0.7795081569208558,,223,-0.7795081569208558
PI/USDT,124,0.16129032258064516,-0.7849735374716716,0.1819650553667663,1.0825870895813954,-1.1441198119049536,,124,-0.7849735374716716
UNI/USDT,261,0.0,-0.7866641142212597,0.0,,-0.7866641142212597,,261,-0.7866641142212597
PENGU/USDT,233,0.008583690987124463,-0.8140195540834938,0.001643034553472266,0.15607078234456712,-0.8224186046153386,,233,-0.8140195540834938
ETH/USDT,192,0.010416666666666666,-0.8199590818964979,0.006159333987833281,0.4878433670400856,-0.8337254234642514,,192,-0.8199590818964979
SUI/USDT,247,0.004048582995951417,-0.8214172972879831,0.0007413564711147592,0.1505254611457083,-0.8253682841108843,,247,-0.8214172972879831
MORPHO/USDT,169,0.04142011834319527,-0.829240681051341,0.010425070311187019,0.21091116608164498,-0.8741855139521489,,169,-0.829240681051341
AIO/USDT,3,0.0,-0.8335523173759812,0.0,,-0.8335523173759812,,3,-0.8335523173759812
AVAX/USDT,199,0.0,-0.8403730808785055,0.0,,-0.8403730808785055,,199,-0.8403730808785055
RECALL/USDT,17,0.11764705882352941,-0.8429939002286941,0.15615544851996194,1.325983284540768,-1.1321908581979556,,17,-0.8429939002286941
BERA/USDT,95,0.042105263157894736,-0.8441401138056946,0.031056902002906336,0.6425959894628684,-0.9094911513120052,,95,-0.8441401138056946
DOGE/USDT,184,0.0,-0.8777487567643472,0.0,,-0.8777487567643472,,184,-0.8777487567643472
BTC/USDT,197,0.0,-0.8790173063742521,0.0,,-0.8790173063742521,,197,-0.8790173063742521
0G/USDT,161,0.062111801242236024,-0.8845566502740968,0.04830157159150593,0.7227921671643769,-0.9910035918263136,,161,-0.8845566502740968
H/USDT,237,0.10970464135021098,-0.893775055952936,0.16327201408249742,1.5897567699064246,-1.1998026743052743,,237,-0.893775055952936
LA/USDT,66,0.045454545454545456,-0.8950641658817773,0.029214375130795577,0.5925842658186978,-0.9659045673913237,,66,-0.8950641658817773
HBAR/USDT,239,0.0,-0.9185358617024288,0.0,,-0.9185358617024288,,239,-0.9185358617024288
ZRO/USDT,104,0.16346153846153846,-0.9834183352677269,0.16331718823296604,1.1743397625679155,-1.405049227948255,,104,-0.9834183352677269
AAVE/USDT,199,0.005025125628140704,-1.003491426382252,0.0011064063173690047,0.22118830560006053,-1.00967667755388,,199,-1.003491426382252
XAUT/USDT,96,0.0,-1.0334059856041,0.0,,-1.0334059856041,,96,-1.0334059856041
B2/USDT,11,0.0,-1.1385638060646697,0.0,,-1.1385638060646697,,11,-1.1385638060646697
STO/USDT,19,0.05263157894736842,-1.1958047371448917,0.050373433371518526,1.2052095581632265,-1.3291944202175647,,19,-1.1958047371448917
HOME/USDT,121,0.1322314049586777,-1.1973634082901994,0.2195790163514973,2.5477292124115714,-1.768044188587612,,121,-1.1973634082901994
