coin,hour,volatility_bucket,expectancy,profit_factor,trade_count
UNI/USDT,17,"(0.000463, 0.000792]",-0.19930780799999037,0.0,3
XRP/USDT,15,"(0.000792, 0.0012]",-0.19956979194558505,0.0,5
AVAX/USDT,17,"(0.000792, 0.0012]",-0.20121919999998178,0.0,1
BGB/USDT,18,"(0.000792, 0.0012]",-0.20140633420001036,0.0,2
DOGE/USDT,15,"(0.000463, 0.000792]",-0.20244037029643688,0.0,9
SOL/USDT,17,"(-0.001, 0.000463]",-0.2026023962559806,0.0,1
BGB/USDT,14,"(0.000463, 0.000792]",-0.20421493288799583,0.0,4
ALCH/USDT,17,"(0.000463, 0.000792]",-0.2050882623167517,0.0,1
XLM/USDT,15,"(0.00201, 0.0338]",-0.2052688200000043,0.0,1
HOME/USDT,20,"(0.0012, 0.00201]",-0.20568329717357578,0.0,1
XAUT/USDT,16,"(-0.001, 0.000463]",-0.20594799999999575,0.0,2
BCH/USDT,14,"(0.000463, 0.000792]",-0.20637899999998965,0.0,2
GRASS/USDT,12,"(0.0012, 0.00201]",-0.20656381479998687,0.0,1
H/USDT,22,"(0.0012, 0.00201]",-0.20873954771277914,0.0,2
PENGU/USDT,15,"(0.000463, 0.000792]",-0.20938705637048005,0.0,4
PENGU/USDT,18,"(0.000463, 0.000792]",-0.21208285945546368,0.0,6
HYPE/USDT,14,"(-0.001, 0.000463]",-0.21308986501438132,0.0,1
PI/USDT,2,"(0.00201, 0.0338]",-0.2137257150602335,0.7454675204403637,15
H/USDT,15,"(0.00201, 0.0338]",-0.21391252268399055,0.24655844198767832,12
BCH/USDT,18,"(0.000792, 0.0012]",-0.21531840422398374,0.0,1
GRASS/USDT,15,"(-0.001, 0.000463]",-0.21546210424798146,0.0,2
ZEC/USDT,17,"(0.000463, 0.000792]",-0.21608029554958455,0.0,1
HOME/USDT,10,"(0.0012, 0.00201]",-0.21721493106557743,0.0,2
MOODENG/USDT,16,"(0.00201, 0.0338]",-0.21748918974623385,0.3528723722250029,6
ADA/USDT,15,"(-0.001, 0.000463]",-0.21785398723196364,0.0,1
FF/USDT,14,"(-0.001, 0.000463]",-0.21828510622560998,0.0,1
WLD/USDT,15,"(0.00201, 0.0338]",-0.21841660274130317,0.22104484588243245,5
LTC/USDT,15,"(0.000792, 0.0012]",-0.21856174057998976,0.0,4
BCH/USDT,14,"(0.000792, 0.0012]",-0.21895770275998802,0.0,1
ADA/USDT,15,"(0.000463, 0.000792]",-0.21940092838132277,0.0,6
PI/USDT,22,"(0.0012, 0.00201]",-0.2211189466159768,0.0,4
0G/USDT,2,"(0.0012, 0.00201]",-0.22119683488394593,0.0,6
LTC/USDT,15,"(-0.001, 0.000463]",-0.2232109984799974,0.0,3
KITE/USDT,14,"(0.00201, 0.0338]",-0.2252406473368456,0.3242068019810661,13
PENGU/USDT,0,"(0.000792, 0.0012]",-0.2258583155848594,0.0,1
MORPHO/USDT,17,"(0.000463, 0.000792]",-0.22678380647999644,0.0,1
XRP/USDT,16,"(-0.001, 0.000463]",-0.22862710852000878,0.0,1
ZRO/USDT,17,"(0.000792, 0.0012]",-0.2292777338879769,0.0,1
ADA/USDT,15,"(0.0012, 0.00201]",-0.23105229717827838,0.0,7
SUI/USDT,14,"(-0.001, 0.000463]",-0.2335526474607867,0.0,2
ASTER/USDT,20,"(0.00201, 0.0338]",-0.2346832351934067,0.0,1
BCH/USDT,18,"(0.000463, 0.000792]",-0.23505323670399492,0.0,1
HYPE/USDT,19,"(0.0012, 0.00201]",-0.23619128212143572,0.0,5
ADA/USDT,14,"(0.000463, 0.000792]",-0.23621069529598374,0.0,4
WLD/USDT,13,"(0.000792, 0.0012]",-0.23739962409197563,0.0,2
MOODENG/USDT,14,"(0.00201, 0.0338]",-0.237647704045738,0.0812877900031551,5
PEPE/USDT,22,"(0.000463, 0.000792]",-0.23781595902765357,0.0,1
TRX/USDT,15,"(-0.001, 0.000463]",-0.23801541093147646,0.0,11
DOGE/USDT,16,"(0.000463, 0.000792]",-0.23931176632678167,0.0,4
0G/USDT,0,"(0.0012, 0.00201]",-0.23931686891202744,0.0,2
GRASS/USDT,15,"(0.00201, 0.0338]",-0.2402097162044345,0.0,9
LINK/USDT,17,"(0.000463, 0.000792]",-0.24023235279995697,0.0,1
HYPE/USDT,18,"(0.000463, 0.000792]",-0.24038813053864713,0.0,3
HYPE/USDT,21,"(0.000463, 0.000792]",-0.24100116930424773,0.0,3
ZRO/USDT,17,"(0.0012, 0.00201]",-0.2415877357013364,0.0,3
XLM/USDT,15,"(0.000792, 0.0012]",-0.24268695521884637,0.0,7
BGB/USDT,19,"(0.0012, 0.00201]",-0.24300492891996273,0.0,2
GRASS/USDT,18,"(0.00201, 0.0338]",-0.24372891765758814,0.2808611703356715,5
BGB/USDT,15,"(0.000463, 0.000792]",-0.24409605781199495,0.0,4
PENGU/USDT,15,"(-0.001, 0.000463]",-0.2446659736910351,0.0,1
WLD/USDT,13,"(-0.001, 0.000463]",-0.24502449124001652,0.0,1
0G/USDT,14,"(-0.001, 0.000463]",-0.2455774999999989,0.0,4
ZEC/USDT,15,"(0.0012, 0.00201]",-0.24604212665471006,0.0,5
SUI/USDT,14,"(0.000463, 0.000792]",-0.2460962150609609,0.0,5
TRX/USDT,16,"(0.000463, 0.000792]",-0.24621386859005678,0.0,5
MOODENG/USDT,14,"(0.000463, 0.000792]",-0.24661164373557667,0.0,2
PI/USDT,21,"(0.0012, 0.00201]",-0.24731162623995384,0.0,1
LPT/USDT,18,"(0.0012, 0.00201]",-0.24775061037329774,0.0,3
PENGU/USDT,18,"(-0.001, 0.000463]",-0.24791882387764186,0.0,2
XLM/USDT,2,"(0.0012, 0.00201]",-0.24840438343679241,0.0,2
ETH/USDT,16,"(0.0012, 0.00201]",-0.24843798377598092,0.0,2
MON/USDT,2,"(0.0012, 0.00201]",-0.24919365619236555,0.0,2
LINK/USDT,17,"(0.0012, 0.00201]",-0.24955537903997996,0.0,2
GRASS/USDT,18,"(0.0012, 0.00201]",-0.2496836080536912,0.0,7
0G/USDT,13,"(-0.001, 0.000463]",-0.25090496469064943,0.0,3
SUI/USDT,16,"(0.000463, 0.000792]",-0.2523102619892633,0.0,5
SONIC/USDT,1,"(0.000463, 0.000792]",-0.2528436665879274,0.0,1
DOGE/USDT,14,"(0.000792, 0.0012]",-0.2536386746378517,0.0,6
ALCH/USDT,16,"(0.00201, 0.0338]",-0.25383340850115366,0.0,2
MORPHO/USDT,21,"(0.000463, 0.000792]",-0.25413992710397093,0.0,1
USDC/USDT,19,"(-0.001, 0.000463]",-0.2543921568155783,0.0,2
SOL/USDT,15,"(0.00201, 0.0338]",-0.2544256087359936,0.0,1
WLD/USDT,7,"(0.000792, 0.0012]",-0.2545087311359385,0.0,1
ADA/USDT,14,"(0.000792, 0.0012]",-0.25676059626486863,0.0,9
HYPE/USDT,18,"(0.000792, 0.0012]",-0.2569718722161477,0.0,5
MOODENG/USDT,14,"(-0.001, 0.000463]",-0.2571967516503844,0.0,6
MON/USDT,2,"(0.000792, 0.0012]",-0.2579958064079906,0.0,1
XLM/USDT,18,"(0.000463, 0.000792]",-0.25842878150919313,0.0,2
ADA/USDT,19,"(0.000792, 0.0012]",-0.2602868330959771,0.0,3
WLD/USDT,18,"(0.00201, 0.0338]",-0.2607630724399802,0.11047176225240961,2
GRASS/USDT,16,"(0.000792, 0.0012]",-0.26117133944531207,0.0,3
XRP/USDT,15,"(-0.001, 0.000463]",-0.26349649306397555,0.0,3
XLM/USDT,15,"(0.0012, 0.00201]",-0.26508138790735475,0.0,5
PENGU/USDT,14,"(0.000792, 0.0012]",-0.2656713129585529,0.0,8
TAO/USDT,14,"(0.0012, 0.00201]",-0.26718013367719107,0.0,4
ADA/USDT,16,"(-0.001, 0.000463]",-0.26723999999999054,0.0,1
DOGE/USDT,16,"(0.000792, 0.0012]",-0.2674849345141217,0.0,3
XLM/USDT,14,"(-0.001, 0.000463]",-0.26762916585878027,0.0,4
ADA/USDT,16,"(0.000792, 0.0012]",-0.2688208499639869,0.0,4
XRP/USDT,14,"(-0.001, 0.000463]",-0.2701989949119852,0.0,2
LTC/USDT,15,"(0.000463, 0.000792]",-0.27131303886397984,0.0,5
PENGU/USDT,16,"(-0.001, 0.000463]",-0.2721505627142282,0.0,1
H/USDT,18,"(0.00201, 0.0338]",-0.2723828335447692,0.2115363537622638,8
MYX/USDT,13,"(0.0012, 0.00201]",-0.27250834995732853,0.0,3
SONIC/USDT,18,"(0.00201, 0.0338]",-0.2726859076243802,0.5693729828401884,2
WLD/USDT,19,"(0.000792, 0.0012]",-0.27455172416000395,0.0,1
0G/USDT,14,"(0.000463, 0.000792]",-0.2748025889640021,0.0,2
XLM/USDT,15,"(0.000463, 0.000792]",-0.27532430508207956,0.0,8
SOL/USDT,14,"(0.000792, 0.0012]",-0.2765705938079776,0.0,2
LA/USDT,19,"(0.00201, 0.0338]",-0.27665639999999553,0.0,1
MORPHO/USDT,15,"(0.0012, 0.00201]",-0.2770405036205558,0.0,7
WLD/USDT,22,"(-0.001, 0.000463]",-0.27721835807999073,0.0,1
LPT/USDT,16,"(0.000792, 0.0012]",-0.27730325958398017,0.0,2
PENGU/USDT,18,"(0.000792, 0.0012]",-0.27764801490924956,0.0,6
SUI/USDT,15,"(0.000463, 0.000792]",-0.27787666248745074,0.0,3
ZEC/USDT,21,"(0.000792, 0.0012]",-0.27793186526183183,0.0,6
ALCH/USDT,18,"(0.000792, 0.0012]",-0.27795438140155165,0.0,2
LINK/USDT,14,"(0.000463, 0.000792]",-0.27867599135997034,0.0,1
ASTER/USDT,13,"(0.000463, 0.000792]",-0.2789130590543876,0.0,5
LTC/USDT,14,"(0.000463, 0.000792]",-0.2790319999999904,0.0,1
ETH/USDT,14,"(0.0012, 0.00201]",-0.2794655907839822,0.0,1
ASTER/USDT,21,"(0.0012, 0.00201]",-0.28050635234398885,0.0,2
XLM/USDT,14,"(0.000463, 0.000792]",-0.28252573075118786,0.0,5
ZEC/USDT,16,"(-0.001, 0.000463]",-0.28269092160317877,0.0,1
SOL/USDT,15,"(0.0012, 0.00201]",-0.283175143137325,0.0,6
GRASS/USDT,16,"(-0.001, 0.000463]",-0.2832983999999794,0.0,1
DOGE/USDT,14,"(0.000463, 0.000792]",-0.28414552676011146,0.0,6
ETH/USDT,21,"(0.0012, 0.00201]",-0.28482025773594616,0.0,2
BGB/USDT,18,"(0.000463, 0.000792]",-0.28502055832456225,0.0,7
MON/USDT,16,"(-0.001, 0.000463]",-0.28522268775278153,0.0,3
BGB/USDT,15,"(-0.001, 0.000463]",-0.2853832603799905,0.0,10
ASTER/USDT,14,"(-0.001, 0.000463]",-0.2877532986559954,0.0,4
STO/USDT,4,"(0.000792, 0.0012]",-0.288248396705655,0.0,1
PEPE/USDT,18,"(-0.001, 0.000463]",-0.2905732348519608,0.0,1
PENGU/USDT,18,"(0.0012, 0.00201]",-0.29145057794460505,0.0,4
PEPE/USDT,19,"(0.000463, 0.000792]",-0.29185084485044976,0.0,4
BERA/USDT,14,"(0.000792, 0.0012]",-0.292262222575985,0.0,3
MOODENG/USDT,18,"(0.0012, 0.00201]",-0.2924667466834492,0.0,3
BGB/USDT,12,"(0.000792, 0.0012]",-0.2925521976639564,0.0,2
ZRO/USDT,5,"(0.000792, 0.0012]",-0.29273937347195894,0.0,3
ASTER/USDT,18,"(-0.001, 0.000463]",-0.2928996761279637,0.0,2
BGB/USDT,19,"(0.00201, 0.0338]",-0.2929439999999873,0.0,1
TAO/USDT,17,"(0.0012, 0.00201]",-0.29316601516533164,0.0,3
UNI/USDT,15,"(0.000463, 0.000792]",-0.2943939879999862,0.0,2
WLD/USDT,13,"(0.000463, 0.000792]",-0.29493865820198195,0.0,4
HYPE/USDT,15,"(0.0012, 0.00201]",-0.2953036843007934,0.0,1
LPT/USDT,15,"(0.0012, 0.00201]",-0.2953368895729516,0.0,8
BGB/USDT,14,"(0.000792, 0.0012]",-0.2954166231839872,0.0,1
PEPE/USDT,19,"(-0.001, 0.000463]",-0.2968810856688209,0.0,2
LINK/USDT,14,"(0.000792, 0.0012]",-0.2976119956799871,0.0,2
XRP/USDT,14,"(0.000463, 0.000792]",-0.2976797333332981,0.0,3
AVAX/USDT,22,"(0.00201, 0.0338]",-0.29845119652794216,0.0,1
PEPE/USDT,18,"(0.000463, 0.000792]",-0.29877407388603017,0.0,7
PEPE/USDT,14,"(0.000792, 0.0012]",-0.3005304807578931,0.0,5
MON/USDT,16,"(0.0012, 0.00201]",-0.3006185751964017,0.0,2
ASTER/USDT,22,"(0.000792, 0.0012]",-0.30108854451202754,0.0,1
SOL/USDT,14,"(0.000463, 0.000792]",-0.3015201354399883,0.0,7
TAO/USDT,13,"(0.00201, 0.0338]",-0.30200539002479443,0.0,4
ASTER/USDT,13,"(-0.001, 0.000463]",-0.3024497048720135,0.0,2
LPT/USDT,18,"(-0.001, 0.000463]",-0.30252309226795127,0.0,4
WLD/USDT,14,"(0.000463, 0.000792]",-0.3027448474707489,0.0,13
BNB/USDT,17,"(0.000463, 0.000792]",-0.3045273927919789,0.0,3
DOGE/USDT,15,"(-0.001, 0.000463]",-0.3058053537831877,0.0,4
LPT/USDT,16,"(-0.001, 0.000463]",-0.3063086834013082,0.0,6
WLD/USDT,0,"(0.000463, 0.000792]",-0.30713192726401645,0.0,1
PEPE/USDT,19,"(0.000792, 0.0012]",-0.30781462791173614,0.0,5
GRASS/USDT,1,"(0.000792, 0.0012]",-0.30812750573192793,0.0,2
ADA/USDT,16,"(0.000463, 0.000792]",-0.30816056859085306,0.0,7
HYPE/USDT,20,"(0.000792, 0.0012]",-0.309646102942855,0.0,5
XLM/USDT,14,"(0.0012, 0.00201]",-0.31045378163838055,0.0,4
HOME/USDT,9,"(0.000792, 0.0012]",-0.3105514393743576,0.0,1
ZRO/USDT,6,"(0.000792, 0.0012]",-0.31064344015192497,0.0,1
PEPE/USDT,15,"(0.000792, 0.0012]",-0.3109239654157855,0.0,10
PEPE/USDT,17,"(0.000463, 0.000792]",-0.31101662406005354,0.0,12
XLM/USDT,16,"(0.000792, 0.0012]",-0.31124253627435655,0.0,6
UNI/USDT,14,"(0.000463, 0.000792]",-0.3124200000000066,0.0,1
XLM/USDT,17,"(0.000463, 0.000792]",-0.31303840840839314,0.0,2
XLM/USDT,16,"(0.000463, 0.000792]",-0.31371510380424567,0.0,6
LINK/USDT,15,"(0.0012, 0.00201]",-0.31397300407996764,0.0,1
DOGE/USDT,23,"(0.000792, 0.0012]",-0.3141108606944011,0.0,1
DOGE/USDT,15,"(0.000792, 0.0012]",-0.31423623406703594,0.0,5
GRASS/USDT,16,"(0.000463, 0.000792]",-0.3155841115439901,0.0,1
XLM/USDT,17,"(-0.001, 0.000463]",-0.3163427519685213,0.0,3
BNB/USDT,14,"(0.000463, 0.000792]",-0.3168447043179727,0.0,4
ZRO/USDT,9,"(0.0012, 0.00201]",-0.3172305547059171,0.06035870955237673,4
BCH/USDT,19,"(-0.001, 0.000463]",-0.3178010932511928,0.0,5
MORPHO/USDT,17,"(0.000792, 0.0012]",-0.3181978358093131,0.0,6
LINK/USDT,18,"(0.0012, 0.00201]",-0.3183253821599979,0.0,4
TAO/USDT,20,"(0.00201, 0.0338]",-0.31837830536642914,0.1502533620179845,13
MON/USDT,20,"(0.0012, 0.00201]",-0.31854862252074034,0.059517777633642244,2
SOL/USDT,15,"(0.000792, 0.0012]",-0.3187109969615845,0.0,10
SONIC/USDT,15,"(0.000463, 0.000792]",-0.319083636772783,0.0,1
LTC/USDT,14,"(0.000792, 0.0012]",-0.3191159087999688,0.0,1
PI/USDT,4,"(0.0012, 0.00201]",-0.3191790477758929,0.0,1
SUI/USDT,16,"(0.000792, 0.0012]",-0.31932218643145066,0.0,3
BNB/USDT,17,"(-0.001, 0.000463]",-0.3197358153994856,0.0,16
GRASS/USDT,14,"(0.00201, 0.0338]",-0.3210822512239895,0.0,5
TAO/USDT,22,"(0.00201, 0.0338]",-0.32121544296396676,0.28829638914653277,16
XLM/USDT,18,"(0.000792, 0.0012]",-0.32126351582398244,0.0,1
AVAX/USDT,18,"(-0.001, 0.000463]",-0.32130291166877406,0.0,5
ETH/USDT,18,"(0.0012, 0.00201]",-0.32150080153600513,0.0,1
TAO/USDT,15,"(0.00201, 0.0338]",-0.3217728120229973,0.10508990488926499,24
0G/USDT,17,"(-0.001, 0.000463]",-0.3218754110879908,0.0,1
FF/USDT,13,"(0.0012, 0.00201]",-0.32201919112799327,0.0,1
RECALL/USDT,5,"(0.000792, 0.0012]",-0.3223921257022828,0.0,1
WLD/USDT,15,"(0.000463, 0.000792]",-0.322629014114263,0.0,7
ASTER/USDT,15,"(-0.001, 0.000463]",-0.32313600979200424,0.0,1
MORPHO/USDT,16,"(0.000792, 0.0012]",-0.3243080581087686,0.0,5
MON/USDT,16,"(0.000792, 0.0012]",-0.32443797988796164,0.0,1
MYX/USDT,20,"(0.00201, 0.0338]",-0.3247469626855743,0.05956234763219695,10
PEPE/USDT,20,"(0.000792, 0.0012]",-0.32502683878573163,0.0,6
BERA/USDT,14,"(0.00201, 0.0338]",-0.32568615492707986,0.44109759142803523,10
BERA/USDT,0,"(0.000463, 0.000792]",-0.3257270787555848,0.0,2
BCH/USDT,18,"(-0.001, 0.000463]",-0.32737360673597193,0.0,1
SOL/USDT,22,"(0.000792, 0.0012]",-0.32742908606399523,0.0,2
ASTER/USDT,21,"(0.000463, 0.000792]",-0.3275944757789808,0.0,8
XRP/USDT,14,"(0.000792, 0.0012]",-0.32792244038130075,0.0,3
H/USDT,3,"(0.00201, 0.0338]",-0.32843261674515706,0.73488907695632,6
PENGU/USDT,16,"(0.000792, 0.0012]",-0.328735672913907,0.0,10
ZEC/USDT,2,"(0.000463, 0.000792]",-0.32927920571837116,0.0,3
