uid,side,entry,mfe_price,mae_price,pnl_net,entry_efficiency
WLD-sell-140155-5556,sell,0.3837,0.0005000000000000004,-9.999999999998899e-05,-0.09635085667998594,-638.6666666666779
LA-buy-140049-4292,buy,0.2318,9.999999999998899e-05,-0.002700000000000008,-2.0728998312799862,83.7500000000001
SUI-sell-140233-b965,sell,0.8975,0.00039999999999995595,0.0,-0.16872983492158292,-2242.750000000247
MYX-sell-140058-89f1,sell,0.2924,0.0049000000000000155,-0.00040000000000001146,1.4104893914400076,-54.245283018867646
XRP-sell-140233-1a0d,sell,1.3575,0.0007999999999999119,0.0,-0.2903979999999427,-1695.875000000187
HYPE-buy-140225-b6fc,buy,30.866,0.02400000000000091,0.0,-0.14667021435917238,1286.0833333332846
TAO-buy-140243-aa09,buy,183.25,0.28000000000000114,-0.09000000000000341,-0.37805120000000125,495.5135135135074
BERA-buy-140130-a8f6,buy,0.5435,0.0006000000000000449,-0.0007000000000000339,-0.13813703920477083,418.61538461535923
MOODENG-sell-140321-9492,sell,0.04832,3.0000000000002247e-05,0.0,-0.2865528599999904,-1609.666666666546
LPT-sell-140233-5742,sell,2.227,0.0,-0.002000000000000224,-0.4415904328320279,-1113.4999999998754
MYX-sell-140321-b3c8,sell,0.2898,0.0005000000000000004,0.0,-0.17376809128798607,-578.5999999999995
WLD-sell-140355-28f7,sell,0.3836,0.00019999999999997797,0.0,-0.2784209999999784,-1917.0000000002112
LA-buy-140243-0fcf,buy,0.2286,0.0019000000000000128,-0.00020000000000000573,-0.05686249245604147,108.95238095238
XRP-sell-140424-fb6e,sell,1.3589,0.00039999999999995595,0.0,-0.2456443898239662,-3396.2500000003743
FF-sell-140142-2c8c,sell,0.07414,0.0,-2.0000000000006124e-05,-0.21828510622560998,-3706.999999998865
SUI-sell-140424-023d,sell,0.8986,0.0004999999999999449,0.0,-0.13706117731601453,-1796.2000000001979
LPT-sell-140424-c323,sell,2.229,0.002000000000000224,0.0,-0.16774476721599726,-1113.4999999998754
XLM-sell-140233-def9,sell,0.15074,0.000130000000000019,-0.00011999999999998123,-0.11925957828476907,-602.4399999999995
MOODENG-sell-140540-a3c4,sell,0.04825,5.000000000000143e-05,0.0,-0.138002914347985,-963.9999999999724
0G-sell-140355-bc01,sell,0.5986,0.0010000000000000009,-0.00029999999999996696,-0.08747453831997717,-459.6923076923191
XLM-sell-140500-12f9,sell,0.15061,3.999999999998449e-05,-4.000000000001225e-05,-0.17507942163599022,-1882.1250000000769
HYPE-buy-140424-de5c,buy,30.931,0.010999999999999233,-0.06099999999999994,-0.5476925252943823,430.4444444444494
TAO-buy-140442-8ce6,buy,182.98,0.0800000000000125,-0.6599999999999966,-0.9334881536175801,248.1621621621591
BERA-buy-140500-da9e,buy,0.5447,0.0,-0.0021999999999999797,-1.163668986912002,248.59090909091134
WLD-sell-140602-d1c0,sell,0.3828,0.00019999999999997797,0.0,-0.2058055825280079,-1913.0000000002108
DOGE-sell-140657-6161,sell,0.0896,3.0000000000002247e-05,0.0,-0.3295165140951883,-2985.666666666443
SUI-sell-140633-f3c1,sell,0.8953,0.0004999999999999449,-0.00019999999999997797,-0.14750020981439374,-1278.2857142858552
ADA-sell-140657-5df1,sell,0.2528,0.0001000000000000445,-9.999999999998899e-05,-0.24478556155194486,-1263.4999999997883
BERA-buy-140700-86b0,buy,0.5427,0.0006000000000000449,0.0,-0.31315811999998,904.4999999999321
HYPE-buy-140627-3759,buy,30.882,0.013999999999999346,0.0,-0.21308986501438132,2205.857142857246
