uid,entry,mfe_price,mae_price,mfe_pct,mae_pct
SUI-sell-141030-b96f,0.8951,0.0007000000000000339,-9.999999999998899e-05,-0.9992179644732432,-1.0001117193609652
ADA-sell-141052-f0f1,0.2528,0.00030000000000002247,0.0,-0.9988132911392404,-1.0
BNB-sell-141052-0317,624.34,0.7200000000000273,0.0,-0.9988467822020053,-1.0
DOGE-sell-141102-31f5,0.08962,3.999999999999837e-05,0.0,-0.999553671055568,-1.0
HBAR-sell-141102-5790,0.09581,4.000000000001225e-05,0.0,-0.9995825070451935,-1.0
PENGU-sell-141115-0a57,0.006667,5.999999999999929e-06,0.0,-0.9991000449977501,-1.0
MOODENG-sell-141052-7d34,0.04804,3.0000000000002247e-05,0.0,-0.9993755203996669,-1.0
XLM-sell-140934-c937,0.1502,0.00010999999999999899,-9.000000000000674e-05,-0.9992676431424767,-1.0005992010652465
WLD-sell-141003-fcf4,0.3824,0.00020000000000003348,-0.00039999999999995595,-0.9994769874476986,-1.0010460251046025
LPT-sell-141115-1dc8,2.212,0.0040000000000000036,0.0,-0.9981916817359855,-1.0
PEPE-sell-141115-a098,3.268e-06,4.599999999999922e-09,-1.4000000000001052e-09,-0.99859241126071,-1.0004283965728273
ASTER-sell-141129-b74c,0.6919,0.0009000000000000119,0.0,-0.9986992339933516,-1.0
BERA-buy-141030-c997,0.546,0.0004999999999999449,-0.0014000000000000679,-0.9990842490842492,-1.0025641025641028
XRP-sell-141129-7670,1.3559,0.000400000000000178,-0.0010999999999998789,-0.9997049929935835,-1.000811269267645
XLM-sell-141210-bcb3,0.14993,0.0,-0.0002500000000000002,-1.0,-1.0016674448075769
LTC-sell-141224-b1fd,53.7,0.04000000000000625,0.0,-0.9992551210428304,-1.0
BERA-buy-141224-4c52,0.5455,0.0006000000000000449,0.0,-0.9989000916590284,-1.0
SUI-sell-141224-3905,0.8941,0.0008000000000000229,0.0,-0.9991052454982664,-1.0
TAO-buy-141030-8b2c,181.71,0.06999999999999318,-0.27000000000001023,-0.9996147707886193,-1.0014858841010401
ADA-sell-141306-c051,0.2523,0.0001000000000000445,-9.999999999998899e-05,-0.9996036464526356,-1.0003963535473641
BNB-sell-141306-9bb8,623.4,0.15999999999996817,-0.029999999999972715,-0.9997433429579725,-1.0000481231953802
PENGU-sell-141318-fd79,0.006662,3.000000000000398e-06,-2.999999999999531e-06,-0.9995496847793455,-1.0004503152206543
HBAR-sell-141308-2b90,0.0957,0.0,-9.000000000000674e-05,-1.0,-1.0009404388714733
LPT-sell-141320-e3fa,2.208,0.002000000000000224,-0.0009999999999998899,-0.9990942028985507,-1.0004528985507246
WLD-sell-141238-a30c,0.3823,9.999999999998899e-05,-0.00040000000000001146,-0.999738425320429,-1.0010462987182842
DOGE-sell-141306-24f3,0.08955,2.0000000000006124e-05,-8.999999999999286e-05,-0.9997766610831936,-1.0010050251256282
MYX-sell-141333-f495,0.2919,0.0005999999999999894,0.0,-0.9979445015416238,-1.0
PEPE-sell-141327-9aa5,3.2639e-06,0.0,-8.099999999999973e-09,-1.0,-1.0024816936793406
ASTER-sell-141333-7749,0.6916,0.0009000000000000119,-9.999999999998899e-05,-0.9986986697513013,-1.0001445922498553
XRP-sell-141337-7292,1.356,,,,
ADA-sell-141506-fbfb,0.2522,0.0005000000000000004,0.0,-0.9980174464710547,-1.0
GRASS-sell-141333-cecc,0.2796,0.0,-0.0009000000000000119,-1.0,-1.0032188841201717
HBAR-sell-141509-6d60,0.09583,1.9999999999992246e-05,0.0,-0.9997912970885945,-1.0
BNB-sell-141509-c493,623.98,0.19000000000005457,-0.12000000000000455,-0.9996955030609954,-1.0001923138562134
XLM-sell-141445-2cab,0.15014,0.0,-0.00015999999999999348,-1.0,-1.0010656720394298
PEPE-sell-141524-3451,3.2729e-06,2.6000000000001953e-09,-1.699999999999916e-09,-0.999205597482355,-1.0005194170307679
GRASS-sell-141536-17a3,0.281,0.00030000000000002247,-9.999999999998899e-05,-0.9989323843416369,-1.000355871886121
LTC-sell-141424-a760,53.76,0.030000000000001137,-0.030000000000001137,-0.9994419642857143,-1.0005580357142858
LPT-sell-141521-375e,2.206,0.0,-0.008000000000000007,-1.0,-1.0036264732547597
ASTER-sell-141536-24eb,0.6916,0.0,-0.000500000000000056,-1.0,-1.0007229612492772
SUI-sell-141436-b785,0.895,9.999999999998899e-05,-0.0010000000000000009,-0.9998882681564246,-1.0011173184357542
PEPE-sell-141736-0245,3.2704e-06,2.699999999999991e-09,0.0,-0.9991744129158513,-1.0
DOGE-sell-141509-5a5c,0.08964,3.999999999999837e-05,-6.0000000000004494e-05,-0.999553770638108,-1.000669344042838
ADA-sell-141655-a92f,0.2524,9.999999999998899e-05,-9.999999999998899e-05,-0.9996038034865293,-1.0003961965134707
BNB-sell-141655-0e6f,624.12,0.2899999999999636,0.0,-0.9995353457668398,-1.0
