pnl,rolling_profit_factor,rolling_expectancy,edge_decay
-0.08747453831997717,0.14685196797616062,-0.22041097305902949,-0.2577134081560153
-0.17507942163599022,0.149004556831581,-0.21667872624574908,-0.25681521265036283
-0.5476925252943823,0.14467514634767442,-0.22429818063131615,-0.25994292568954586
-0.9334881536175801,0.13685509214781852,-0.23928272219899605,-0.2671083004547377
-1.163668986912002,0.12834877496425956,-0.25765561211243576,-0.27654578136481417
-0.2058055825280079,0.12761333122916346,-0.2593591440053647,-0.27580890429359745
-0.3295165140951883,0.12784200587687225,-0.2588273578994289,-0.2763625909925829
-0.14750020981439374,0.13079025538024217,-0.252137700763237,-0.2750476687356626
-0.24478556155194486,0.12919355093702933,-0.2557227646585962,-0.27474199088532203
-0.31315811999998,0.12761379987750654,-0.25935805220813224,-0.27512615217646863
-0.21308986501438132,0.1289510089174219,-0.2562751091148203,-0.27451193151149744
-0.3405965348296082,0.12834967732791575,-0.2576535339299727,-0.2751598197793221
-0.43148199999998876,0.12640781456830347,-0.26219439712997267,-0.2766775108494256
-0.2934680456105004,0.125262878382343,-0.2649376987567111,-0.2768389582990513
-0.37075768078271953,0.12539993671812177,-0.26460666343236616,-0.2777334223227053
-0.3516895884799933,0.12392687562932293,-0.2682028857275665,-0.27843112200343445
-0.38751599999997455,0.12204862933042432,-0.2729142070394694,-0.2794506068445236
-0.4063211999999927,0.11333424107204083,-0.2828285265433091,-0.2806253345589261
-0.3025199000000065,0.11276851016312715,-0.2844287673397901,-0.28082620213178006
-0.2446099615040016,0.11281965811876989,-0.2842834290410701,-0.28049696358061843
-0.24978178987199917,0.11238317686056243,-0.2855279549177104,-0.2802202503039642
-0.3580575900159834,0.11092468492129574,-0.2897575514299341,-0.28091522655139295
-0.32248730770396516,0.10991725891446805,-0.29274460821761344,-0.281283121074867
-0.6212681746343334,0.1079528216987409,-0.29872958788774023,-0.2842654461060904
-0.3616033298863549,0.1085738692078853,-0.29681405362146784,-0.28493794944331013
-0.3294446840879735,0.1073103202088944,-0.3007346279944277,-0.28532162819024687
-0.22857628480800027,0.10705974031705688,-0.301523130278108,-0.28483662525535586
-0.33462247655197214,0.08191782109486861,-0.31615713321186745,-0.285258539249395
-0.4184045502621605,0.08055651500054639,-0.321976510928151,-0.28637741329151906
0.25903116902402307,0.09771480868436568,-0.30832249452987853,-0.2818323417722229
-0.20672594748556683,0.10133277692917154,-0.296122035021414,-0.2812116277698538
-0.30118739999997923,0.1000884073388742,-0.3002187658878139,-0.28137536360780563
-0.6158241186799948,0.10966816934601294,-0.27107725163581403,-0.28409445917749826
-0.4046651999999947,0.10799444747011919,-0.27579595893738224,-0.28506680386155064
-0.5123934832640114,0.01621812171272056,-0.31425361643146266,-0.28688541729677036
-0.39558527999999793,0.016112010448293416,-0.3163573620314638,-0.28774811461981187
-0.40357478000000324,0.01585859433730548,-0.3214954533442804,-0.28866013560705744
-0.40061918399997476,0.01583671317030831,-0.32194681302427985,-0.2895348156726271
-0.20667042747116293,0.01577063403019843,-0.3233174807896077,-0.28889245607416614
-0.15550506418560378,0.015897473659140023,-0.32069652487332,-0.2878663992134849
-0.1406618362799671,0.016196606137747756,-0.31467795294227874,-0.2867427002597939
