pnl_net,equity,drawdown
-0.5515539363999631,-51.19230004940539,-51.122692799914205
-0.39908454205699984,-51.591384591462386,-51.5217773419712
-0.24159593285517603,-51.83298052431756,-51.76337327482638
-0.32537878070399895,-52.15835930502156,-52.08875205553038
-0.3065439777279829,-52.464903282749546,-52.39529603325836
-0.3793415049863894,-52.84424478773594,-52.774637538244754
-0.6001148649040056,-53.444359652639946,-53.37475240314876
-0.6918828729119975,-54.13624252555194,-54.06663527606076
-1.1155712153825803,-55.25181374093452,-55.18220649144334
-0.5697246384479915,-55.82153837938252,-55.75193112989133
-0.46157804367997546,-56.283116423062495,-56.21350917357131
-0.5593618311640114,-56.842478254226506,-56.77287100473532
-0.5584896622079799,-57.40096791643449,-57.331360666943304
-0.40086895999999017,-57.80183687643448,-57.732229626943294
-0.9776481113599329,-58.77948498779441,-58.70987773830323
-0.5785658040831976,-59.35805079187761,-59.288443542386425
-0.40506209999999077,-59.7631128918776,-59.69350564238641
-0.3602480134399744,-60.12336090531757,-60.053753655826384
-0.6458011037026479,-60.769162009020214,-60.69955475952903
-0.3433201873759887,-61.1124821963962,-61.042874946905016
-0.13242375056064948,-61.24490594695685,-61.175298697465664
-0.3658643889119942,-61.61077033586884,-61.54116308637766
-0.3350915801279989,-61.94586191599684,-61.87625466650566
-0.4087367713919715,-62.354598687388815,-62.28499143789763
-0.30145379999997246,-62.65605248738879,-62.58644523789761
-0.3037875200000033,-62.95984000738879,-62.89023275789761
-0.19429794911997758,-63.15413795650877,-63.084530707017585
-0.3116929199999911,-63.46583087650876,-63.39622362701758
-0.38528219999997115,-63.85111307650873,-63.78150582701755
-0.3774628846455924,-64.22857596115432,-64.15896871166314
-0.4045111399999769,-64.6330871011543,-64.56347985166312
-0.40587399999998464,-65.03896110115429,-64.9693538516631
-0.6721728741479501,-65.71113397530223,-65.64152672581105
1.0357375397712523,-64.67539643553098,-64.6057891860398
-0.28032619476799714,-64.95572263029898,-64.8861153808078
-0.6366847436940399,-65.59240737399301,-65.52280012450183
-0.886279785895972,-66.47868715988898,-66.4090799103978
-0.6017265582327602,-67.08041371812173,-67.01080646863055
-0.20644339999999,-67.28685711812172,-67.21724986863053
0.044128838368874046,-67.24272827975284,-67.17312103026165
-0.6000951451439261,-67.84282342489676,-67.77321617540558
-0.5251065529776079,-68.36792997787437,-68.29832272838318
-0.1155337575200017,-68.48346373539437,-68.41385648590318
-0.44578713463197417,-68.92925087002634,-68.85964362053515
-0.2180549688757045,-69.14730583890204,-69.07769858941086
-0.5958021657055749,-69.74310800460762,-69.67350075511644
